time,flux [mJy],error
0.0,4.912657179370326e-27,0.009974423110754091
1.0,4.914195818125999e-27,0.04415608373767523
2.0,4.9154517467079066e-27,0.009915433322799998
3.0,4.916323760241624e-27,0.06315447081509198
4.0,4.916915339939828e-27,0.027781340512698767
5.0,4.9170295588301475e-27,0.048497599149876974
6.0,4.917106336059929e-27,0.006721953522568946
7.0,4.916657265292729e-27,0.02669455477077833
8.0,4.915559815860395e-27,0.04215836410572292
9.0,4.913900323318563e-27,0.012929686621565345
10.0,4.911632222105341e-27,0.025071172036361694
11.0,4.909466427189514e-27,0.04598346086328811
12.0,4.907448679167598e-27,0.03397263084677438
13.0,4.9055483017253814e-27,0.023385669173956184
14.0,4.903447954981223e-27,0.01790015289074746
15.0,4.901600284359987e-27,0.050238915544522644
16.0,4.89953102768048e-27,0.021230250595577448
17.0,4.896915793599974e-27,0.04445468579809457
18.0,4.894333870548011e-27,0.00937898934018102
19.0,4.891684969902542e-27,0.06840459297135534
20.0,4.8892385258430925e-27,0.1246855166254842
21.0,4.8869959591758894e-27,0.010325347723440154
22.0,4.885202349267138e-27,0.017064992284978247
23.0,4.8835276531664694e-27,0.04637732085272475
24.0,4.881738069189982e-27,0.03199650099240741
25.0,4.880140397970156e-27,0.05163470862493156
26.0,4.878323135649171e-27,0.063157920298009
27.0,4.876187135961146e-27,0.03528963204624219
28.0,4.87370404577775e-27,0.01066141172651541
29.0,4.8709657873640235e-27,0.006749600896931485
30.0,4.8678970315030574e-27,0.0038363956070926806
31.0,4.8641951717119806e-27,0.0009011911339825636
32.0,4.859945362025543e-27,0.04583935995929493
33.0,4.8546405032179506e-27,0.06482622949794163
34.0,4.848896276014132e-27,0.024984240676906633
35.0,4.8422209625478226e-27,0.007618918324444288
36.0,4.834681254113004e-27,0.06797843644936935
37.0,4.8266081213338185e-27,0.028082978734071225
38.0,4.8179196120790035e-27,0.0646111658955064
39.0,4.809354607473866e-27,0.010337230351184234
40.0,4.800428662143999e-27,0.004777398404261152
41.0,4.7915760255260524e-27,0.05204058845355136
42.0,4.78283325342666e-27,0.011300803982045957
43.0,4.7739263598728276e-27,0.07604643145764153
44.0,4.765251346195781e-27,0.03925238307343733
45.0,4.756705838594381e-27,0.061644144705769614
46.0,4.748596101393072e-27,0.022889320779966593
47.0,4.741089490247445e-27,0.05447369528078497
